company_id,company_name,website_url,industry_primary,description,city,state,employees,founded_year,website_domain,cleaned_name,data_source,confidence,enriched_data,original_company_name
2de94226-69e7-43d5-9f51-0603662208a9,Global Services & Solutions,,,,,,,,,Global Services & Solutions,original,1.0,{},Global Services & Solutions
2de9465a-45f3-4d6e-abd3-cb7f63a9c49c,Legend Leasing,,,,,,,,,Legend Leasing,original,1.0,{},Legend Leasing
2de94a0a-a79a-4be2-b1ee-2c3b556fa819,Securitymortgagegroup,,,,,,,,,Securitymortgagegroup,original,1.0,{},Securitymortgagegroup
2de953aa-f7e7-485e-9109-cf7bcef7e27c,General Store 45,,,,,,,,,General Store 45,original,1.0,{},General Store 45
2de95888-9016-4635-b501-3fcb2c69cf44,Constantine Energy Storage,,,,,,,,,Constantine Energy Storage,original,1.0,{},Constantine Energy Storage
2de97dc1-df5a-4232-ab6c-e781e7b8f024,JohnsonKreis Construction,,,,,,,,,JohnsonKreis Construction,extracted,0.9,{},"JohnsonKreis Construction offers a range of construction services, including church construction, commercial construction, hotel construction, and educational facility construction. Their typical customers are organizations and businesses in need of construction services such as churches, hotels, schools, and commercial buildings. The company claims to differentiate itself through its focus on tailoring every design to meet the specific needs of its clients, meticulous attention to detail, a value for excellence, and a strong emphasis on building and cultivating relationships with clients"
2de97e02-5023-4de8-b608-cc35e70ff584,Network Inventory Software,,,,,,,,,Network Inventory Software,original,1.0,{},Network Inventory Software
2de989cb-323a-4f43-81ea-e3e7f49c1aeb,Phoenix Lock Master,,,,,,,,,Phoenix Lock Master,original,1.0,{},Phoenix Lock Master
2de9c7ec-52d1-41a5-bb23-6b3cf8970111,Powdertech,,,,,,,,,Powdertech,original,1.0,{},Powdertech
2de9d413-ae94-4371-89ba-5e8b3b2cccd6,Helium Plus East,,,,,,,,,Helium Plus East,original,1.0,{},Helium Plus East
2dea2f1a-6a9d-471b-b202-d2806e354370,Muggeo and Associates,,,,,,,,,Muggeo and Associates,original,1.0,{},Muggeo and Associates
2dea53c8-becf-4cbf-b3c1-c14b47881aa1,Scan-It,,,,,,,,,Scan-It,original,1.0,{},Scan-It
2dea8b8a-a642-4cb8-b443-8f6fe02330b7,Blue Sky Homes,,,,,,,,,Blue Sky Homes,extracted,0.9,{},"Blue Sky Homes specializes in designing and building stylish, energy-efficient, and technologically integrated homes in the Arcadia neighborhood of Phoenix, Arizona. Their typical customers include individuals or families looking for high-quality, environmentally friendly homes with modern technology integration. They position themselves as a 'Smart and Green' real estate development company, emphasizing the neighborhood via front-yard patios and living spaces, and carefully selecting subdivision and home sites to provide homeowners with the opportunity to comfortably walk or bicycle to nearby amenities. Blue Sky Homes also offers a 7% Guarantee Program for investors, attracting risk-averse individuals, income-focused retirees, and anyone seeking a guaranteed monthly stream of cash"
2deaa14d-a070-4476-a473-0faef7dfbd3f,Minuteman Press - Peachtree City,,,,,,,,,Minuteman Press - Peachtree City,original,1.0,{},Minuteman Press - Peachtree City
2deaab91-a5a7-430e-a8fd-bd4088778a85,Avid Services,,,,,,,,,Avid Services,extracted,0.9,{},"Avid Services is a commercial concrete company based in Maryland. They offer a range of construction services, including foundations, flat work, walls, site work, and tilt walls. Their typical customers are commercial businesses and developers in need of concrete construction services. Avid Services differentiates itself by providing personalized site management, experienced foremen, and a seamless client experience that includes seamless communication, budgeting, staffing, on-site organization, and quality work every time"
2deac730-efa9-4c97-a369-570bfcafea12,Mechanical Machining Co,,,,,,,,,Mechanical Machining Co,original,1.0,{},Mechanical Machining Co
2deade99-335c-421e-9ed8-8b19cf39600c,satoca digital marketing,,,,,,,,,satoca digital marketing,original,1.0,{},satoca digital marketing
2deae321-38e5-460a-b7f9-14f9a83d4a02,Hensa,http://hensa.net,,,,,,,,Hensa,web_search,0.8,"{'found': True, 'company_name': 'Hensa', 'description': None, 'industry': None, 'location': None, 'data_source': 'domain_extraction'}",Hensa Stmp
2deafedf-4c57-4b01-b431-d23978d623fa,Goldberg Katzman,,,,,,,,,Goldberg Katzman,original,1.0,{},Goldberg Katzman
2deb3987-ecc9-408f-9049-540c139caca5,"S M, Andersen Company",,,,,,,,,"S M, Andersen Company",original,1.0,{},"S M, Andersen Company"
2deb4922-ce2a-406f-92c2-28f578d3291a,Harriman Material Handling,,,,,,,,,Harriman Material Handling,original,1.0,{},Harriman Material Handling
2deb52ee-58ae-43e5-9b23-ec1bd6f3d352,Rgbuilders,,,,,,,,,Rgbuilders,original,1.0,{},Rgbuilders
2deb98c7-52f6-4680-b7db-65998a9ce384,Peirce Graphic Services,,,,,,,,,Peirce Graphic Services,original,1.0,{},Peirce Graphic Services
2deb9967-a704-4e81-9a0e-0a13e6228b1b,KonRob,,,,,,,,,KonRob,original,1.0,{},KonRob
2debacc5-60a9-4821-83e0-236f6c1d6768,3circle media,http://3jsnextlevelteenmilitarybootcampprogram.org/,,,,,,,,3circle media,original,1.0,{},3circle media
2debed22-a2b3-4cf7-a514-9506cecb79a4,reliable hermetic seals,,,,,,,,,reliable hermetic seals,original,1.0,{},reliable hermetic seals
2debee4d-d84e-44f1-aba3-3da5722b9dd7,"EdTech, Mobile",,"Developer of education intelligence tools intended to help education stakeholders analyze student and back-office data. The company's product offering includes KPI and analytics dashboards for school administrators and principals, student tracking tools geared towards teachers, and a mobile app to help students with calendars, communications, and course management.",Educational Software,,,,,,"EdTech, Mobile",original,1.0,{},"EdTech, Mobile"
2debf4a4-4fa9-4679-872f-fd7744f3d014,Mc Clure Industries,,,,,,,,,Mc Clure Industries,original,1.0,{},Mc Clure Industries
2dec11d8-f83f-483b-b883-ab304e8de4bf,NexGen Machine,,,,,,,,,NexGen Machine,original,1.0,{},NexGen Machine
2dec14ae-b1b7-487b-a4fe-40ba0fa65df0,"Ecclesia Construction Company, LLC",,,,,,,,,"Ecclesia Construction Company, LLC",extracted,0.9,{},"Ecclesia Construction Company, LLC specializes in construction services, with a focus on adaptive reuse projects, ministry facilities, commercial buildings, residential properties, and nonprofit organizations. Their typical customers include churches, nonprofit organizations, commercial businesses, and individuals seeking property renovation. They differentiate themselves by emphasizing their purpose-driven approach, passion for their work, and commitment to professionalism, positioning themselves as a company that not only constructs buildings, but also serves the higher purpose of their clients' missions and needs"
2dec2c51-53c9-41fa-be4b-f8b7a950951e,ONEinc,,,,,,,,,ONEinc,original,1.0,{},ONEinc
2dec358d-b7d1-4600-b904-a04bc7d77e5c,Olde Mill Cabinet,,,,,,,,,Olde Mill Cabinet,original,1.0,{},Olde Mill Cabinet
2dec4a42-a747-4e25-be25-521d817752e4,Heritage Home Works,,,,,,,,,Heritage Home Works,original,1.0,{},Heritage Home Works
2dec4b53-130d-4299-9007-55bd8f206278,Gloversville Housing,,,,,,,,,Gloversville Housing,original,1.0,{},Gloversville Housing
